# prefab<TAB>comma-separated MonoBehaviour classes found anywhere in the prefab (generated from game assets)
AbandonedLogCabin02	Chair,Container,CreatureSpawner,Door,Location,MusicLocation,Piece,RandomSpawn,TerrainModifier,WearNTear,ZNetView
AbandonedLogCabin03	Container,CreatureSpawner,Door,Location,MusicLocation,Piece,RandomSpawn,TerrainModifier,WearNTear,ZNetView
AbandonedLogCabin04	Container,CreatureSpawner,Door,Location,MusicLocation,Piece,RandomSpawn,TerrainModifier,WearNTear,ZNetView
Abomination	AnimationEffect,CharacterAnimEvent,CharacterDrop,FootStep,Humanoid,MeleeWeaponTrail,MonsterAI,VisEquipment,ZNetView,ZSyncAnimation,ZSyncTransform
Abomination_attack1	ItemDrop,ZNetView,ZSyncTransform
Abomination_attack2	ItemDrop,ZNetView,ZSyncTransform
Abomination_attack3	ItemDrop,ZNetView,ZSyncTransform
Abomination_ragdoll	Ragdoll,ZNetView
AccessibilityTab	
Achievements	Achievements
Achievements1	AchievementList
Acorn	ItemDrop,ZNetView,ZSyncTransform
AltBiomes_Erik	AltBiomeList
Amber	ItemDrop,ZNetView,ZSyncTransform
AmberPearl	ItemDrop,ZNetView,ZSyncTransform
AncientCoin	ItemDrop,ZNetView,ZSyncTransform
AncientGemstoneBlack	ItemDrop,ZNetView,ZSyncTransform
AncientGemstoneGreen	ItemDrop,ZNetView,ZSyncTransform
AncientGemstoneOrange	ItemDrop,ZNetView,ZSyncTransform
AncientGemstonePurple	ItemDrop,ZNetView,ZSyncTransform
AncientSeed	ItemDrop,LightFlicker,ZNetView,ZSyncTransform
AncientUpgradeStation	CircleProjector,CraftingStation,EffectArea,GuidePoint,LightFlicker,Location,LodFadeInOut,Piece,RuneStone,SmokeSpawner,StaticPhysics,TerrainModifier,TimedDestruction,WearNTear,ZNetView,ZSFX
ArmorAshlandsMediumChest	ItemDrop,ZNetView,ZSyncTransform
ArmorAshlandsMediumlegs	ItemDrop,ZNetView,ZSyncTransform
ArmorBerserkerChest	ItemDrop,ZNetView,ZSyncTransform
ArmorBerserkerLegs	ItemDrop,ZNetView,ZSyncTransform
ArmorBerserkerUndeadChest	ItemDrop,ZNetView,ZSyncTransform
ArmorBerserkerUndeadLegs	ItemDrop,ZNetView,ZSyncTransform
ArmorBronzeChest	ItemDrop,ZNetView,ZSyncTransform
ArmorBronzeLegs	ItemDrop,ZNetView,ZSyncTransform
ArmorCarapaceChest	ItemDrop,ZNetView,ZSyncTransform
ArmorCarapaceLegs	ItemDrop,ZNetView,ZSyncTransform
ArmorDeepNorthHeavyChest	ItemDrop,ZNetView,ZSyncTransform
ArmorDeepNorthHeavylegs	ItemDrop,ZNetView,ZSyncTransform
